puzzleId,title,identifiers
16990,"Texting 1, 2, 3","HSA.SSE.B,HSA.CED.A.1,HSA.CED.A.3,HSS.ID.C.7"
4684,That's Interesting!,"HSA.CED.A.2,HSA.SSE.B.4"
3004,Time Trial Triumphs,"8.EE.C.7,HSA.CED.A.1,HSA.REI.A.1"
5140,To B or Not to B,"8.EE.C.7,HSA.CED.A.1,HSA.SSE.A.1.a"
17057,Triangle Possibilities,"HSA.CED.A.1,HSA.CED.A.3,HSA.REI.B.3"
4564,Tribonacci Tribulation,"8.EE.C.7,HSA.CED.A.1,HSA.REI.A.1"
5188,Two by Canoe,"8.EE.C.7,HSA.CED.A.1,HSA.CED.A.2,HSA.REI.A.1"
4624,A Variable Triangle,"HSA.CED.A.1,HSA.CED.A.3"
3988,Vexing Variables,"HSA.SSE.A.2,HSA.SSE.B.3,HSA.CED.A.4"
3256,Voter Turnout,"7.EE.A.1,7.EE.B.3,HSA.SSE.A.1.a"
3100,What Time Is It?,"HSA.CED.A.1,HSA.SSE.B.3"
3976,What's the Difference?,"8.EE.C.7,HSA.CED.A.1,HSA.CED.A.2,HSA.REI.A.1,HSA.REI.B.3"
3712,What's the Point?,"HSA.CED.A.2,HSA.CED.A.3,8.G.B.8"
2992,What's the Temperature?,"HSA.REI.B.3,HSA.REI.C.6"
3568,Wreck Tangle,"HSA.CED.A.1,HSA.REI.A.1"
1384,'Ace' Trotter,HSA.CED.A.1
976,Adrienne's Axel,"HSA-CED.A.3,HSF-BF.A.1.a,HSF-LE.A.2"
712,All Wet,"HSA-REI.B.4.a,HSA-REI.B.4.b,HSA-REI.C.7,HSF-IF.C.8.a,HSG-SRT.C.8"
3700,Ancestors,"HSA-SSE.B.3.c,HSA-CED.A.1,HSA-CED.A.3,HSF-IF.C.8.b,HSF-BF.A.1.a,HSF-LE.A.1.a,HSF-LE.A.1.c"
2056,Ant Race,"HSG-SRT.C.6,HSG-SRT.C.8"
1552,At Least This Many,"HSA-CED.A.2,HSA-CED.A.3,HSF-IF.B.4,HSF-BF.A.1.a,HSF-LE.A.2"
3676,Blowin' in the Wind,"HSA.APR.D.6, HSA.CED.A.1"
4024,Bowl-O-Rama,"HSA-CED.A.2,HSA-CED.A.3,HSF-IF.B.4,HSF-BF.A.1.a,HSF-LE.A.2"
2884,Burger Inflation?,"HSA-CED.A.2,HSA-CED.A.3,HSF-BF.A.1.a,HSF-LE.A.2"
3616,Capture the Flag,"HSA-CED.A.2,HSA-CED.A.3,HSF-BF.A.1.a,HSF-LE.A.2,HSG-GPE.B.5"
3232,Carlita's CD Collection,"HSA-CED.A.1,HSA-REI.A.1,HSA-REI.B.3,HSF-BF.A.1.a"
460,The Chip Swap Game,"HSA-CED.A.1,HSA-CED.A.3,HSF-BF.A.1.a"
3340,Choosing Charity,"7.RP.A.2.b,8.EE.B.6,8.F.A.3,8.F.B.4"
988,The Christmas Gifts,"HSA-REI.B.4.b,HSA-REI.C.7"
604,The Continued Fraction,"HSA-CED.A.1,HSA-CED.A.3,HSA-REI.B.4.a,HSA-REI.B.4.b,HSF-BF.A.1.a"
2872,Copying Conundrum,"HSA-SSE.B.3.c,HSF-IF.C.8.b,HSF-BF.A.1.a,HSF-BF.A.2,HSF-LE.A.1.a,HSF-LE.A.1.c"
940,A Day at the Fairs,"HSA-CED.A.1,.HSA-REI.A.1,HSA-REI.B.3,HSF-BF.A.1.a"
1504,Diego's Building Blocks,HSA.CED.A.4
904,"A Dog, A Hog, and a Frog",HSA.REI.C.6
1564,Donald Duck's Trip,"HSA-CED.A.2,HSA-CED.A.3,HSF-IF.B.4,HSF-BF.A.1.a,HSF-LE.A.2"
1456,Dot.Com Derby,"HSG.C.B.5, HSF.TF.A.1"
2800,Driving to Work,"HSA-CED.A.2,HSA-CED.A.3,HSA-REI.C.6,HSF-BF.A.1.a"
