puzzleId,title,identifiers
5215,Dashing Through the Snow,"3.OA.D.8,4.OA.A.3,5.OA.A.2"
3523,Greta's Garden,"3.OA.D.8,4.OA.A.3,5.OA.A.2"
3367,Let the Chips Fall ...,"3.OA.D.8,4.OA.A.3,5.OA.A.2"
626,Luscious Lemonade,"3.OA.D.8,4.OA.A.3,5.OA.A.2"
1009,Mean Jellybeans,"3.OA.D.8,4.OA.A.3,5.OA.A.2"
5167,Nuts in a Bowl,"3.OA.D.8,4.OA.A.3,5.OA.A.2"
4123,Salad Daze,"3.OA.D.8,4.OA.A.3,5.OA.A.2"
5299,Sports Weigh In,"3.OA.D.8,4.OA.A.3,5.OA.A.2"
1261,Summer At Sweet Tooth,"3.OA.D.8,4.OA.A.3,5.OA.A.2"
3715,Sundaes,"3.OA.D.8,4.OA.A.3,5.OA.A.2"
4028,Basic Breakfast Buffet,"3.OA.D.8,4.OA.A.3,5.OA.A.2"
410,Trick-or-Treat Route,"3.OA.D.8,4.OA.A.3,5.OA.A.2"
16006,Heidi's Hometown,"3.OA.D.8,4.OA.A.3,5.NBT.A.1"
3967,Trapezoid Teatime,"3.OA.D.9,4.OA.C.5,5.OA.B.3"
3692,Kwae,"4.G.A.3,8.G.A.1"
4628,Symmetry Surprise,"4.G.A.3,8.G.A.1"
1801,How Much Was That Ticket?,"4.MD.A.1,5.MD.A.1"
16008,Watch Where You Step!,"4.MD.A.1,5.MD.A.1"
637,Irish Specials,"4.MD.A.2,5.NBT.A.4"
2995,Giving with Grapefruit,"4.MD.A.2,5.NBT.B.7"
1033,McPrincipal's Night at McDee's,"4.MD.A.2,5.NBT.B.7"
1525,Meters of Money,"4.MD.A.2,5.NBT.B.7"
17048,Pauline the Plumber,"4.MD.A.2,5.NBT.B.7"
3163,Penny-Pinching Pretzel Company,"4.MD.A.2,5.NBT.B.7"
1333,Price Tag Repair,"4.MD.A.2,5.NBT.B.7"
5095,Subway Tokens,"4.MD.A.2,5.NBT.B.7"
16003,At Least a Mile,"4.MD.A.2,5.NBT.B.7"
3500,How Far in Space?,"4.MD.A.2,5.NBT.B.7"
685,Good Fences,"4.MD.A.2,5.NF"
338,Baseball Attendance Figures,"4.NBT.A,5.NBT.A.1,6.NS.B.3"
2731,The Place Value Game,"4.NBT.A.1,5.NBT.A.1"
3907,Shop 'Til You Drop,"4.NBT.B.4,5.NBT.B.5"
4076,Cara's Cookies,"4.NF.A.2,5.NF.A.2"
2767,Anthony's Famous Butter Rolls,"4.NF.B,5.NBT.A.4,5.NF.B.4,5.NF.B.6"
